class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42
YO,0.292383969,1.0541749,-8.58E-05,0.256547958,0.949841917,0.00938242,0.250641108,0.838352203,-0.008448068,0.247761577,0.739065707,-0.022427425,0.241890252,0.675782084,-0.034619357,0.261852562,0.865884066,-0.141047075,0.308347851,0.760343671,-0.182840824,0.341656208,0.690189719,-0.193008065,0.369603932,0.639904857,-0.195953056,0.29693979,0.91261065,-0.144837707,0.377670318,0.825186312,-0.128579766,0.370569885,0.847866952,-0.055541236,0.358220756,0.875699282,-0.016791677,0.336471945,0.960556805,-0.148073524,0.417050213,0.867214501,-0.133067951,0.400623351,0.890209794,-0.066704333,0.378473699,0.913640499,-0.029709563,0.375829428,0.999542952,-0.152153596,0.448426187,0.912484348,-0.182335392,0.496612251,0.868595898,-0.189554974,0.540176988,0.826992691,-0.200914353,0.297435731,1.007400393,-0.000167692,0.259612054,0.946200609,-0.018858075,0.252881914,0.864698112,-0.061428655,0.263469875,0.792781055,-0.091534957,0.274027586,0.748855114,-0.116572671,0.257239997,0.866338432,-0.192475751,0.274802446,0.763547003,-0.232129514,0.271952957,0.703677893,-0.243132681,0.265960246,0.662888706,-0.259970456,0.300130814,0.907600522,-0.192245737,0.357329845,0.78200376,-0.220910147,0.37865746,0.710057497,-0.204890564,0.396236002,0.657737136,-0.204035684,0.343990654,0.950975597,-0.184244588,0.399164885,0.850564837,-0.168089688,0.383765042,0.865359068,-0.093784094,0.363465816,0.890367627,-0.057117324,0.381145746,0.985378742,-0.184526652,0.438011587,0.919737697,-0.205615103,0.477142572,0.890987694,-0.215926394,0.507936716,0.866979003,-0.232183024
YO,0.275739819,0.961990595,-0.000104579,0.245580703,0.907191992,-0.021643844,0.236737579,0.829009593,-0.059114404,0.240080774,0.7684232,-0.085233837,0.238528207,0.719628274,-0.106868409,0.27368933,0.838486135,-0.152632952,0.324437559,0.7425524,-0.199976891,0.349693537,0.678075135,-0.2289543,0.3671197,0.626843035,-0.248539999,0.304466605,0.868017316,-0.153290629,0.358590633,0.771707535,-0.202636629,0.385751724,0.709983408,-0.229710162,0.407738566,0.66719234,-0.257721573,0.329053432,0.899491191,-0.145565182,0.374702781,0.853726983,-0.153141439,0.361390114,0.874066353,-0.112462923,0.345041394,0.893107355,-0.093043342,0.347962916,0.925492704,-0.141690016,0.376087397,0.894789279,-0.137068883,0.365019441,0.905032039,-0.110753685,0.351216614,0.917700827,-0.098457992,0.28332743,0.999822855,-7.34E-05,0.254028082,0.924897313,-0.013090185,0.246404827,0.828718543,-0.044769771,0.244110957,0.746022701,-0.06266389,0.234312683,0.687717795,-0.072343066,0.279905826,0.844154,-0.173584566,0.344676256,0.744114637,-0.215793416,0.378744543,0.676765323,-0.230011255,0.399674237,0.622010469,-0.239873111,0.310541511,0.88658154,-0.170405582,0.387955815,0.822278678,-0.155204251,0.373583376,0.837865055,-0.076977119,0.348020285,0.851887882,-0.040478352,0.341120481,0.935062945,-0.165806741,0.405004621,0.854491472,-0.151297376,0.388960779,0.866345942,-0.091988966,0.366930068,0.886260986,-0.069092937,0.365195572,0.978024483,-0.163962051,0.416918755,0.918781877,-0.170351654,0.431838453,0.904864788,-0.161077142,0.439363241,0.895245075,-0.169009775
YO,0.289775699,0.969008863,-5.37E-05,0.258984536,0.894734979,-0.001234455,0.250126421,0.807873845,-0.034654394,0.250075489,0.743679821,-0.0616436,0.246495605,0.694595337,-0.087598272,0.261968642,0.838743389,-0.143548176,0.282657146,0.745072007,-0.191279769,0.290978372,0.677169681,-0.217561617,0.297088504,0.622891009,-0.23566924,0.296741426,0.872324109,-0.151534751,0.348652095,0.762863219,-0.19508937,0.37590304,0.692841172,-0.213299215,0.397736192,0.644966245,-0.233872682,0.329987854,0.906090558,-0.146897167,0.381343037,0.828257918,-0.142926604,0.36885649,0.845806777,-0.090980329,0.351381749,0.867625952,-0.068851314,0.360052496,0.931727946,-0.14559494,0.390698612,0.874324083,-0.128248572,0.374738097,0.884343624,-0.088783897,0.356702387,0.901034951,-0.068917379,0.287206799,0.99603796,-9.05E-05,0.257768303,0.925817907,-0.016324759,0.248500258,0.829433739,-0.050190795,0.245215386,0.743768632,-0.06982521,0.233812466,0.688083708,-0.082402125,0.274536937,0.836800277,-0.180443615,0.34254238,0.736395001,-0.220480934,0.37841323,0.668056607,-0.232110783,0.400737107,0.613482475,-0.241790473,0.305595905,0.881280899,-0.176311463,0.386045694,0.811017513,-0.162802324,0.372548759,0.824234068,-0.08724878,0.347226441,0.837031305,-0.052021399,0.337292582,0.930615723,-0.170902535,0.403314769,0.84852165,-0.153763458,0.386933595,0.861775339,-0.092727132,0.364951432,0.881779969,-0.06854517,0.364147931,0.973193169,-0.169757172,0.415838987,0.911905527,-0.180018738,0.434684157,0.901026487,-0.177458256,0.448538065,0.893446386,-0.189667404
YO,0.28676793,0.976900339,-6.52E-05,0.25087449,0.910271347,-0.009381687,0.242374152,0.818405747,-0.049215734,0.244928718,0.747606993,-0.078268588,0.240210399,0.698283255,-0.104217492,0.262761295,0.83391571,-0.153354868,0.308673292,0.751749098,-0.19658041,0.331677526,0.689300239,-0.21956189,0.348158807,0.637916923,-0.239707738,0.298559576,0.869684815,-0.159220174,0.356071681,0.778265357,-0.177356035,0.366033763,0.732861459,-0.160816506,0.370673537,0.694653749,-0.167275667,0.3331545,0.906145573,-0.157772854,0.39299196,0.831490517,-0.155002326,0.378183275,0.849630356,-0.101563781,0.358478993,0.869315624,-0.083014362,0.362335801,0.936642408,-0.15934886,0.404526234,0.87999934,-0.148202598,0.392485142,0.889765859,-0.112475343,0.376538157,0.904907584,-0.101781219,0.298090339,0.992443562,-5.09E-05,0.264309108,0.917244315,-0.01652408,0.251750976,0.822502375,-0.051083811,0.246658772,0.738877773,-0.072946668,0.234929278,0.672286868,-0.093347222,0.2771689,0.836452901,-0.153178349,0.341837466,0.73269093,-0.184775099,0.376907647,0.663510442,-0.198583022,0.403484732,0.606467366,-0.209440678,0.313475609,0.885104239,-0.149420083,0.388659954,0.808406889,-0.132651657,0.37615025,0.83459872,-0.065060563,0.350374192,0.854538023,-0.028720405,0.348895013,0.930907488,-0.144503161,0.410841882,0.849525452,-0.135954931,0.395209491,0.871521354,-0.088288121,0.372797787,0.890062571,-0.063342489,0.378429383,0.967056394,-0.140165895,0.436771572,0.902371883,-0.154086322,0.471883088,0.876773417,-0.154378429,0.500338316,0.847296655,-0.166418597
YO,0.293453366,0.987224042,-5.82E-05,0.259931713,0.920092523,-0.015077499,0.24854438,0.825195849,-0.051650848,0.250097036,0.748791039,-0.073139235,0.244478881,0.693528712,-0.090499058,0.26172331,0.847131968,-0.169914365,0.311293811,0.754669666,-0.201263011,0.323520154,0.691177547,-0.205141202,0.328574985,0.639909923,-0.209830835,0.299103826,0.888561726,-0.170564711,0.36691618,0.78763926,-0.1725896,0.370045125,0.757243693,-0.132521495,0.364088655,0.736243367,-0.12349955,0.338263333,0.929277897,-0.164735362,0.406461626,0.837101042,-0.160702467,0.393722057,0.852503896,-0.101311654,0.373087049,0.87480253,-0.075617455,0.371548921,0.963509917,-0.161978036,0.426477879,0.893059671,-0.17079857,0.438049078,0.890514314,-0.152740285,0.442253172,0.893506408,-0.151583627,0.287310779,0.989235044,-6.79E-05,0.259292364,0.920227349,-0.005400866,0.247085318,0.823134422,-0.031867638,0.244293228,0.744590163,-0.047721442,0.237869233,0.690685451,-0.06036279,0.272412419,0.839205742,-0.151657581,0.332384378,0.734626651,-0.178009436,0.366134256,0.670676351,-0.181706384,0.388723016,0.623618245,-0.183231875,0.305837393,0.877218008,-0.152917981,0.376747996,0.777151763,-0.143893719,0.373671412,0.76100564,-0.086256526,0.359594464,0.75317359,-0.062398292,0.339820594,0.914176643,-0.149287656,0.40470475,0.830082476,-0.142299309,0.389650971,0.850870967,-0.082024872,0.365857482,0.873376429,-0.055797506,0.369638264,0.944107294,-0.14675054,0.416763455,0.874802709,-0.146949843,0.410694689,0.887547374,-0.117756575,0.397328079,0.902568817,-0.106922947
YO,0.305374295,0.98993957,-2.66E-05,0.262845159,0.922488749,-0.028813429,0.249344349,0.826054454,-0.071673498,0.246740848,0.744197369,-0.098125607,0.232526854,0.678109288,-0.126223549,0.274025053,0.837137103,-0.184155017,0.341050357,0.742940784,-0.216389626,0.372665137,0.675866902,-0.228820547,0.396298766,0.621301174,-0.246077791,0.317554921,0.879591167,-0.17283693,0.38375175,0.796201646,-0.151379317,0.367213666,0.821643412,-0.083971761,0.341776133,0.845347047,-0.055949271,0.359177262,0.924397528,-0.16116336,0.413680702,0.83671397,-0.144185171,0.39394778,0.856712222,-0.095272601,0.372285426,0.882679582,-0.074618034,0.392167926,0.966385722,-0.15251942,0.443886369,0.895847619,-0.1552248,0.473380446,0.868804157,-0.152940288,0.498787224,0.844566405,-0.16723153,0.306264222,0.986228168,-4.88E-05,0.265210509,0.915167511,-0.023640241,0.249703884,0.816518903,-0.060543373,0.246966153,0.733374476,-0.083852693,0.23669143,0.667907357,-0.109337419,0.279829681,0.825431228,-0.152718574,0.342814177,0.72608006,-0.183042631,0.378866971,0.660709202,-0.199060738,0.40646553,0.607620776,-0.212965891,0.321836859,0.87224859,-0.144001663,0.386392623,0.794800699,-0.125731543,0.369791687,0.823330164,-0.064008601,0.343190014,0.847633421,-0.033303909,0.359768093,0.918243468,-0.13448678,0.413140953,0.839174151,-0.12410149,0.392447293,0.861779034,-0.083095893,0.367466182,0.88550508,-0.064261183,0.389745712,0.956346214,-0.125195324,0.439480305,0.891171098,-0.128875166,0.464411736,0.868993342,-0.122294053,0.485511988,0.847426832,-0.131348267
YO,0.291496068,0.96895647,-5.21E-05,0.248704255,0.900147557,-0.004855219,0.236063123,0.814291656,-0.043026984,0.242674142,0.746287704,-0.071748175,0.243433312,0.699763656,-0.09892378,0.257610083,0.835884809,-0.162857562,0.287595153,0.739494264,-0.212069318,0.30876112,0.677783012,-0.23373282,0.327245772,0.625371516,-0.248381928,0.2963368,0.852995276,-0.161741868,0.352436811,0.743124425,-0.190287739,0.373918474,0.682981908,-0.178871989,0.392012328,0.641204894,-0.180127099,0.331752241,0.871866941,-0.151373893,0.378517747,0.79236418,-0.144689053,0.365470052,0.807447374,-0.085555755,0.351208508,0.82818538,-0.05870204,0.360698342,0.886030018,-0.144271553,0.385706902,0.830705345,-0.124487124,0.370759457,0.842567205,-0.087347068,0.357355982,0.85741502,-0.070887007,0.316290677,1.000453234,-1.20E-05,0.267650872,0.926812768,-0.017112415,0.250131905,0.824597299,-0.060105488,0.245601803,0.736573458,-0.089045636,0.233121872,0.665192127,-0.12343625,0.272788405,0.830745697,-0.17156212,0.33562389,0.725138307,-0.19845961,0.370100617,0.655911446,-0.210293546,0.397457719,0.601841927,-0.223652869,0.318448693,0.871796846,-0.164179578,0.383300126,0.788578808,-0.136600494,0.365672857,0.814564705,-0.067966208,0.340765804,0.841294289,-0.039219137,0.359406292,0.913344204,-0.155674785,0.410134852,0.832987368,-0.133126125,0.390959859,0.85674113,-0.08793328,0.369750321,0.880367339,-0.070636623,0.391185522,0.945706844,-0.148702994,0.446512073,0.871273994,-0.153721049,0.487139046,0.836615205,-0.1568591,0.525398791,0.801912308,-0.17574586
YO,0.299066424,0.977618217,-0.000111291,0.251455426,0.920223117,-0.017975196,0.251738399,0.841857314,-0.079410374,0.280355543,0.787926078,-0.129814297,0.305964649,0.757640243,-0.173683152,0.230603456,0.836498678,-0.197298735,0.224325359,0.754462898,-0.273083448,0.218975097,0.698773444,-0.313070089,0.214081138,0.647119343,-0.335047662,0.274809599,0.862718403,-0.209676191,0.312219858,0.765675545,-0.292609304,0.341680586,0.690627694,-0.328291506,0.370187759,0.626391888,-0.360378921,0.325660586,0.894261479,-0.207299545,0.374127775,0.815636456,-0.239241555,0.368395597,0.831083179,-0.185792238,0.356864184,0.851875305,-0.154263914,0.370686412,0.924568594,-0.208190024,0.408287108,0.868417561,-0.220218256,0.403708339,0.874884963,-0.192805335,0.392292976,0.887325585,-0.177900612,0.296622604,1.007675409,-4.83E-05,0.248023152,0.920628846,-0.014907895,0.232582092,0.816467702,-0.045420818,0.228684396,0.721939683,-0.067520104,0.219256565,0.654064536,-0.090429932,0.264555365,0.821979821,-0.152849942,0.326647192,0.712386549,-0.196029037,0.362529695,0.644114733,-0.218439654,0.385464251,0.588017821,-0.232146278,0.310978472,0.860043883,-0.150491118,0.37398237,0.778013408,-0.138937533,0.357784063,0.807442307,-0.081750631,0.330729783,0.835186005,-0.053358518,0.354446143,0.90250057,-0.146790773,0.403652221,0.810064793,-0.133396313,0.384701937,0.82984519,-0.084431536,0.361182213,0.857556343,-0.05982336,0.389152765,0.943048537,-0.14778544,0.437812328,0.870698571,-0.160424918,0.467580259,0.839468002,-0.163764179,0.489247382,0.81250459,-0.178792715
YO,0.880572796,0.887337089,-5.10E-05,0.821458995,0.828219056,0.009096894,0.786203384,0.766229928,0.003921458,0.759738922,0.711858988,0.002625053,0.750543118,0.672253489,0.002521089,0.846657276,0.68209523,-0.004265962,0.845080793,0.573587358,0.007180236,0.842139065,0.520819068,0.017601999,0.842240155,0.485644042,0.025569882,0.879469514,0.683185697,0.0041388,0.861991823,0.591341376,0.043244511,0.847957015,0.578198373,0.078606874,0.842064798,0.575022995,0.100253262,0.905234575,0.693638921,0.014810227,0.892760038,0.624080718,0.057212584,0.876775205,0.636063993,0.08587262,0.868654966,0.658703864,0.093578294,0.925006032,0.711605072,0.024826573,0.941189885,0.644523501,0.044444226,0.948920727,0.604805648,0.054374985,0.953774035,0.574489474,0.057865039,0.192935809,0.823751032,-7.64E-05,0.16906549,0.731291592,0.028998416,0.16723901,0.62437582,0.016148746,0.166463077,0.528485417,0.005407443,0.161839992,0.458482802,-0.004339743,0.179601282,0.596225798,-0.113250412,0.252059966,0.498593152,-0.143065885,0.295369685,0.4381378,-0.149916813,0.327460468,0.384823501,-0.162129104,0.205519915,0.631824553,-0.134821624,0.305573314,0.598479211,-0.108168885,0.293604374,0.634819865,-0.059659194,0.266491592,0.657138407,-0.04223299,0.240322441,0.682909846,-0.152619988,0.326627821,0.645499706,-0.11613857,0.314565152,0.68439585,-0.063406929,0.290958166,0.705106258,-0.041931678,0.277501076,0.731207967,-0.173983082,0.351962417,0.658219457,-0.189689144,0.4004848,0.615929544,-0.193830043,0.441834033,0.574979901,-0.20785892
YO,0.899138629,0.786426783,1.13E-05,0.93111372,0.707671642,0.045990888,0.945176661,0.624455154,0.045405462,0.947598159,0.55237186,0.044399727,0.946767151,0.502804935,0.046896327,0.931813657,0.597379327,-0.065535173,0.885488868,0.474232525,-0.071462795,0.863425076,0.412168801,-0.068177499,0.856665611,0.363451838,-0.072867356,0.906927347,0.623496056,-0.085703768,0.840000868,0.556797981,-0.060176205,0.839899957,0.595488727,-0.008039721,0.860720456,0.621529222,0.012661205,0.875372112,0.655013144,-0.099947557,0.817076087,0.598535359,-0.068602838,0.822964609,0.636781335,-0.027620438,0.842868567,0.666133225,-0.016970089,0.843482912,0.685122252,-0.114572026,0.795549512,0.621524811,-0.135444671,0.763145149,0.590042531,-0.158556849,0.740126014,0.562068343,-0.188539475,0.202244222,0.834071815,-0.000102194,0.175166935,0.732870162,0.018461505,0.181391731,0.620530307,-0.010851635,0.19262068,0.526325583,-0.035830129,0.199915811,0.465328187,-0.061311841,0.190147012,0.607463241,-0.152071908,0.267879784,0.516125321,-0.198688075,0.31555444,0.46308732,-0.217410773,0.348206878,0.42031008,-0.229314357,0.217996895,0.652372539,-0.168394268,0.314075232,0.5981251,-0.152881116,0.306199968,0.626110256,-0.097467192,0.279454231,0.648879409,-0.07248541,0.252355188,0.705610275,-0.178612113,0.33103627,0.650384843,-0.153597176,0.323678255,0.677069724,-0.100620672,0.302080274,0.701185167,-0.07911887,0.287475169,0.752400637,-0.191104189,0.357080698,0.689119816,-0.200075969,0.400519133,0.65160948,-0.197097346,0.432632387,0.615533352,-0.20901081
YO,0.916029692,0.764927566,2.46E-05,0.922188342,0.683511019,0.078714572,0.925474942,0.602708817,0.089794047,0.931340158,0.53171891,0.088880561,0.938221276,0.478956521,0.087218188,0.933757365,0.559329271,-0.027348598,0.903217554,0.456479967,-0.040716588,0.889711618,0.398556828,-0.043476898,0.881632209,0.355412185,-0.050272819,0.913682222,0.579374969,-0.074645832,0.869702995,0.465343475,-0.086330988,0.850791335,0.395589292,-0.074826673,0.835940003,0.340879351,-0.070294835,0.882843196,0.613289535,-0.11052037,0.826755047,0.536214888,-0.091448389,0.825743854,0.568187356,-0.049413737,0.83581984,0.599202216,-0.027928669,0.847759008,0.646608293,-0.143053114,0.793682873,0.576574028,-0.163478345,0.764743149,0.539317131,-0.176433221,0.739229321,0.504186511,-0.192260429,0.206408501,0.852701545,-6.28E-05,0.212451831,0.743020773,0.011644861,0.239428535,0.652439475,-0.023381365,0.278764188,0.605112016,-0.052454501,0.315720797,0.594671667,-0.071981892,0.227415428,0.618213236,-0.148661405,0.30573225,0.55361402,-0.162456363,0.324510127,0.587540984,-0.13656047,0.320246994,0.615054071,-0.120363422,0.242773026,0.667571068,-0.169500262,0.336236626,0.623401344,-0.186883301,0.344323128,0.661637187,-0.159088045,0.330784768,0.685854733,-0.15310055,0.263892978,0.723182201,-0.17719844,0.351941943,0.698804259,-0.175876707,0.347988486,0.731247663,-0.136188,0.329529464,0.749116719,-0.126296684,0.284805328,0.776950777,-0.185915232,0.350675464,0.768067718,-0.173967421,0.340600014,0.788367748,-0.145397052,0.318577617,0.794804215,-0.136097968
YO,0.90130949,0.724722385,-9.98E-05,0.908032715,0.632993698,0.077215292,0.909740865,0.550575793,0.08989305,0.906212509,0.475907236,0.090218104,0.917962849,0.422040194,0.088964596,0.897803962,0.48939237,-0.013276805,0.846969068,0.393966734,-0.012984241,0.82220763,0.330424368,-0.01219961,0.806974173,0.276701272,-0.023472806,0.884566069,0.515442014,-0.05801012,0.799221218,0.503238678,-0.020746415,0.809040904,0.545889199,0.017404944,0.834792197,0.567439198,0.022345373,0.859276831,0.557558,-0.095923856,0.782384753,0.537355185,-0.049623299,0.794056833,0.574908376,-0.010787336,0.816797733,0.597528934,-0.000506716,0.831225812,0.599874318,-0.131482333,0.762906671,0.546705961,-0.136080846,0.721546292,0.520134032,-0.144625038,0.683889806,0.49561131,-0.166108415,0.233371168,0.86268723,-6.11E-05,0.196517646,0.753282487,-0.009552248,0.196925908,0.643855929,-0.032440059,0.210349172,0.554799736,-0.043408249,0.211976096,0.486326844,-0.054611519,0.230897173,0.64370811,-0.170428485,0.303569287,0.546803355,-0.207218707,0.337926924,0.499204993,-0.198931828,0.356756687,0.466929138,-0.188815519,0.272960603,0.67950505,-0.165420234,0.348983765,0.591828823,-0.18883419,0.372420877,0.558303416,-0.146092221,0.376398563,0.543479562,-0.112520374,0.312162191,0.719192743,-0.153019771,0.376811177,0.640409589,-0.17227143,0.387920678,0.60884726,-0.137969702,0.38277775,0.598599851,-0.113026723,0.342645109,0.757192492,-0.13844803,0.395449877,0.704534709,-0.159779489,0.412049294,0.675096631,-0.15314284,0.413303494,0.653727531,-0.149929851
